Word;Documents
DOUBTS;['00043', '00697', '00999']
VENTRICULAR;['00248', '00348', '00348', '00385', '00385', '00446', '00446', '00446', '00519', '00519', '00519', '00519', '00519', '00587', '00587', '00587', '00587', '00597', '00597', '00597', '00653', '01004', '01041', '01041', '01041', '01043', '01043', '01043', '01043', '01043', '01047', '01047', '01047', '01110', '01110']
SPURT;['00550']
SUPERVISED;['00879']
RESOLUTION;['00015', '00186', '00193', '00193', '00257', '00529', '00740', '00740', '00740', '00744', '00746']
FALSENEGATIVE;['00175', '00483', '00483', '00483', '00717', '00818', '00930', '00995', '01014', '01014', '01014', '01051', '01174']
YIELD;['00149', '00324', '00415', '00887', '00887', '00976', '00976', '01174']
INSULT;['00517']
IMPACT;['00136', '00136', '00136', '00467', '00760', '01034', '01084']
EPISTASIS;['00881']
LATEX;['00346', '00989', '00989']
EVIDENCE;['00004', '00016', '00025', '00025', '00027', '00030', '00046', '00049', '00066', '00073', '00083', '00091', '00096', '00106', '00111', '00111', '00111', '00118', '00122', '00143', '00172', '00180', '00190', '00198', '00213', '00220', '00228', '00273', '00274', '00281', '00281', '00287', '00296', '00317', '00323', '00328', '00334', '00334', '00370', '00413', '00424', '00449', '00464', '00464', '00498', '00504', '00517', '00519', '00519', '00550', '00572', '00587', '00603', '00612', '00614', '00622', '00647', '00651', '00660', '00672', '00672', '00690', '00693', '00703', '00709', '00717', '00746', '00749', '00760', '00776', '00779', '00811', '00811', '00811', '00812', '00818', '00858', '00931', '00936', '00947', '00959', '00975', '00994', '01025', '01051', '01079', '01083', '01097', '01105', '01107', '01109', '01110', '01111', '01141', '01163', '01178', '01201', '01205', '01208', '01232', '01237']
ROTENONE;['01222', '01222']
INTRATHORACIC;['00787', '01034', '01034', '01034', '01046']
CORN;['00758']
REMARKABLE;['00152', '00270', '00290']
DISCERN;['00138', '01076']
CHAPTER;['00180', '00360', '00990', '00990', '01041']
PALMITIC;['00604', '00711', '00876', '00876']
AGEING;['00412']
RESUME;['00201']
WILSON;['00740', '00740', '00746', '00954', '00954', '01210', '01210']
EMPHASIS;['00095', '00360', '00386', '00552', '00888', '00990']
PANATOMIC;['00954']
ULTIMATE;['00089', '00264', '00325']
OHNO;['00832']
CURRENT;['00089', '00165', '00215', '00302', '00373', '00386', '00386', '00430', '00515', '00555', '00722', '00759', '00824', '00835', '00871', '01014', '01045', '01052', '01065', '01076', '01076', '01076', '01120', '01167', '01209', '01209']
TESTIS;['00215', '00263', '00274', '00274']
RESILIENCE;['00760']
KITS;['00102']
DELETIONS;['00304', '00304']
MECHANICALLY;['01034']
EDTA;['00520', '00527', '00533', '00749', '00749', '00749', '00749']
ATTENDED;['00550', '00557', '01232']
BAND;['00141', '00141', '00141', '00141', '00150', '00150', '00150', '00150', '00304', '00304', '00367', '00407', '00407', '00521', '00521', '00530', '00746', '00864', '00864', '00954', '00954', '01210', '01210', '01210', '01210']
REVEAL;['00531', '00640', '00702', '00765']
EXPECTED;['00032', '00073', '00073', '00183', '00216', '00234', '00258', '00291', '00307', '00365', '00377', '00517', '00539', '00644', '00664', '00732', '00755', '00791', '00902', '01004', '01008', '01019', '01042', '01085', '01096', '01144', '01213']
COLICKY;['00659']
UNEXPECTEDLY;['00328', '00426', '00555', '01084']
ENDOCYTOSIS;['00121']
ASPARAGINE;['00412']
INSIDE;['01146']
POSSESSING;['00203']
SACT;['01204', '01204']
GENERALIZED;['00056', '00060', '00083', '00095', '00189', '00242', '00244', '00268', '00297', '00375', '00733', '00765', '00951', '00960', '00960', '00967', '01156', '01231']
SELDOM;['00250', '01000']
UNCLEARED;['00745', '01143']
DETECT;['00020', '00067', '00105', '00117', '00219', '00277', '00293', '00328', '00370', '00529', '00535', '00547', '00577', '00674', '00739', '00739', '00739', '00739', '00746', '00821', '00949', '00954', '00954', '00956', '00982', '01001', '01029', '01045', '01204', '01204', '01204', '01237', '01237']
NAILS;['00004', '00004', '00004', '00004', '00231', '00785', '00785', '00785', '01193']
TRANSFORM;['00040']
SCHEDULES;['01151', '01151']
LEAD;['00058', '00080', '00095', '00126', '00203', '00205', '00206', '00355', '00440', '00470', '00505', '00525', '00534', '00594', '00617', '01004', '01008', '01037', '01074', '01099']
PROTEINHR;['00310']
BIOASSAYS;['00235', '00444', '00646']
EASILY;['00004', '00079', '00176', '00225', '00326', '00352', '00399', '00423', '00517', '00718', '00946', '00978', '01074']
DISTRIBUTION;['00004', '00093', '00093', '00155', '00162', '00165', '00165', '00243', '00271', '00307', '00360', '00368', '00373', '00393', '00409', '00418', '00496', '00504', '00554', '00584', '00623', '00629', '00629', '00680', '00686', '00780', '00858', '00885', '00977', '01016', '01045', '01055', '01055', '01057', '01097', '01145', '01145', '01162', '01162', '01175', '01175', '01197', '01197']
COMMITTEES;['00465']
FORTYFIVE;['00364', '00550', '01006']
DEBRIS;['00463', '00738']
STATUS;['00001', '00015', '00015', '00050', '00055', '00089', '00181', '00185', '00212', '00347', '00347', '00347', '00373', '00373', '00413', '00415', '00449', '00463', '00473', '00581', '00609', '00612', '00614', '00676', '00794', '00794', '00794', '00844', '00914', '00956', '00956', '00985', '00992', '00998', '01039', '01039', '01106', '01108', '01115', '01165', '01212', '01212']
ENDOSCOPIC;['00156']
PRODUCE;['00061', '00142', '00179', '00194', '00205', '00323', '00347', '00647', '00713', '00745', '00821', '00892', '00892', '00917', '00961', '00981', '01026', '01026', '01143', '01173', '01207', '01220']
OGIVES;['00995']
MECHANISM;['00046', '00052', '00125', '00162', '00165', '00165', '00201', '00201', '00270', '00424', '00434', '00481', '00484', '00501', '00502', '00505', '00571', '00660', '00789', '00807', '00966', '00975', '00980', '00985', '01076', '01099', '01099', '01099', '01099', '01120', '01153', '01175', '01185']
SIMILARITY;['01121']
WRINKLES;['00109', '00109', '00119']
DERMAL;['00187', '00858']
WRITTEN;['00739']
HYPERBETALIPOPROTEINEMIA;['00779']
DEFINITE;['00176', '00238', '00326', '00413', '00466', '00757']
NUTRIENT;['00046', '00089', '01167']
CULTIVATED;['00737', '00951', '00951', '01068', '01136', '01136']
ALCOHOL;['00314', '00414', '00414', '00414', '00652', '00981']
GRANULOCYTE;['00200']
MICROMETER;['00625', '00625', '00980']
METASTASES;['00263']
ADDRESSED;['01195']
KAPPATYPE;['00509', '00509']
ANTIPROTEASEACTIVITY;['00071']
CORRELATED;['00001', '00006', '00007', '00047', '00062', '00063', '00063', '00063', '00064', '00081', '00089', '00129', '00155', '00179', '00209', '00242', '00242', '00243', '00244', '00340', '00346', '00366', '00368', '00415', '00415', '00415', '00471', '00500', '00524', '00653', '00653', '00667', '00672', '00676', '00743', '00794', '00794', '00805', '00890', '00956', '00976', '00976', '00983', '00994', '00998', '01039', '01047', '01054', '01060', '01180', '01198', '01198']
KARTAGENER;['00010', '00010']
ADSORPTION;['00521', '00993']
METHYLXANTHINE;['00543']
TRANSFERRIN;['00055', '00174']
REVERSIBLY;['01071']
INCOMPLETE;['00120', '00210', '00256', '00902', '00949', '01084']
POLLEN;['00631', '00812', '01005']
DISTORTS;['00206']
PNEUMONIAE;['00008', '00008', '00008', '00148', '00346', '00554', '00554', '00588', '01065', '01077']
LIVING;['00213', '00552', '00750', '00761', '00845', '00855', '01163', '01167', '01219']
PARATHENAR;['00248']
HYDROXYMERCURIBENZOATE;['00951']
HOMEOSTASIS;['01107']
DYSTOSIS;['00643']
MICROMOLS;['00319']
INTEGRATIVE;['00596', '00596']
MANNOSIDASE;['00853']
FLEXIBLE;['01009']
FIFTY;['00174', '00887']
PROTEINOSIS;['00224', '00224', '00224', '00224', '00669', '00669']
SISTERS;['00032', '00509']
LOGICALLY;['00377']
AIRFLOW;['00821', '00821', '01149', '01149']
DISAPPEARANCE;['00201', '00209']
BANDS;['00019', '00059', '00141', '00141', '00141', '00185', '00367', '00369', '00445', '00573', '00573', '00573', '00633', '00740', '00740', '00746', '00746', '00954']
MENTAL;['00113', '00467', '00613', '00667']
COMPREHENSIVE;['00143', '00299', '00472', '00722', '00730', '00730', '00882', '00943', '01067', '01152']
GLYCERIDES;['00101']
CISTERNAE;['00078']
POLYMER;['00101', '00181', '00185', '00344', '00344', '01146']
ATTACK;['00314', '01097']
TOWNS;['00968']
MORBIDITY;['00067', '00185', '00193', '00472', '00473', '00545', '00641', '00652', '00779', '00879', '00902', '01000', '01214']
REEXAMINE;['01052']
LEAKAGE;['00525', '00525', '00548', '00622', '00622', '00622', '00638', '01160']
DISARRANGED;['00538']
ALBUMINGLOBULIN;['00062', '00063']
ONEYEAR;['00007']
COMPRISED;['00260', '00260', '00375', '00520', '01085']
COOPERATE;['00982', '01146']
ANALGESIC;['00579']
HYPERPLASTIC;['01125']
AUTHORITIES;['00825']
FALLS;['00263', '01062']
TLBBB;['01151']
INTENSIFIED;['00806']
UNDERLYING;['00037', '00081', '00092', '00095', '00163', '00163', '00288', '00295', '00475', '00525', '00570', '00670', '00696', '00738', '00800', '00861', '00925', '00964', '01099', '01099']
TEMPORARY;['00117', '00174', '00263', '00648', '00811']
EPIDEMIOLOGICAL;['00008', '00079']
ARTIFICIAL;['00078', '00101', '00153', '00212', '00220', '00371', '00813', '00813']
WHERAS;['00006']
HEXOSYL;['00604', '00876']
HISTORY;['00011', '00021', '00021', '00029', '00060', '00075', '00096', '00157', '00228', '00252', '00299', '00314', '00317', '00358', '00483', '00485', '00559', '00631', '00672', '00672', '00722', '00822', '00846', '00872', '00872', '00902', '00902', '00911', '00914', '00943', '00965', '00982', '00990', '00990', '01001', '01005', '01048', '01105', '01169', '01234']
CHILDRENS;['00021', '00097', '00448', '00540', '00811', '00910', '01147']
VIRAL;['00614', '00614', '00761']
ECCRINE;['00124', '00707']
CORDS;['00667', '00728']
CAUTION;['00543', '00818', '00920', '01049', '01099', '01183']
FLUX;['00066', '00109', '00281', '00655', '01120', '01120', '01121', '01167']
HEMATOCRIT;['00751']
GASTRIC;['00151', '00151', '00151', '00251', '01120', '01120', '01120', '01167']
FEEDING;['00097', '00126', '00220', '00714']
UPDATED;['00258']
ANAESTHESIA;['00224', '00224']
DESTRUCTION;['00463', '00531', '00738', '00788', '01076']
MITOGENLIKE;['01044']
SCINTILLATION;['00093', '01142', '01142']
FRACTION;['00141', '00141', '00141', '00375', '00375', '00375', '00405', '00430', '00463', '00521', '00528', '00530', '00565', '00565', '00565', '00572', '00572', '00575', '00576', '00576', '00576', '00711', '00726', '00740', '00748', '00749', '00749', '00749', '00749', '00749', '00749', '00749', '00749', '00827', '00827', '00918', '00918', '00951', '01026', '01026', '01041', '01110', '01110', '01130', '01167', '01239', '01239']
COLLOID;['00041', '00149']
PROGRESSIVELY;['00331', '00429', '00914']
LENDS;['00258', '01143']
SUBTRACT;['01103']
CONTAMINATION;['00004', '00025', '00618']
GRASP;['00911']
TWOSTEP;['00740', '00746']
AGEDEPENDENT;['00008']
MULTIPHASIC;['00334']
THEORY;['00270', '00372', '00381', '01238']
MOUTH;['00571', '00613', '01118']
INHALATION;['00021', '00326', '00326', '00326', '00358', '00458', '00510', '00542', '00542', '00542', '00546', '00628', '00672', '01003', '01003', '01003', '01003', '01003', '01046']
ACTIVITY;['00002', '00005', '00005', '00005', '00005', '00018', '00018', '00019', '00019', '00019', '00019', '00019', '00019', '00026', '00026', '00026', '00052', '00053', '00054', '00067', '00071', '00085', '00093', '00102', '00114', '00114', '00114', '00118', '00118', '00118', '00118', '00118', '00118', '00124', '00125', '00140', '00140', '00141', '00141', '00141', '00141', '00141', '00141', '00141', '00141', '00166', '00166', '00175', '00191', '00191', '00191', '00201', '00214', '00214', '00225', '00232', '00233', '00233', '00235', '00235', '00235', '00235', '00235', '00246', '00246', '00246', '00256', '00261', '00268', '00278', '00280', '00303', '00305', '00305', '00305', '00305', '00305', '00305', '00305', '00305', '00305', '00306', '00306', '00306', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00310', '00310', '00310', '00310', '00317', '00319', '00319', '00319', '00345', '00345', '00345', '00345', '00345', '00345', '00345', '00347', '00355', '00355', '00355', '00356', '00356', '00356', '00356', '00356', '00356', '00375', '00379', '00380', '00380', '00390', '00405', '00405', '00410', '00411', '00421', '00421', '00421', '00421', '00421', '00421', '00437', '00445', '00445', '00445', '00445', '00451', '00466', '00466', '00467', '00481', '00481', '00482', '00504', '00504', '00521', '00521', '00521', '00521', '00521', '00524', '00528', '00528', '00530', '00530', '00530', '00530', '00531', '00532', '00532', '00535', '00535', '00553', '00553', '00553', '00564', '00570', '00572', '00572', '00572', '00574', '00574', '00575', '00575', '00575', '00581', '00584', '00584', '00584', '00589', '00589', '00589', '00589', '00589', '00596', '00606', '00609', '00622', '00622', '00623', '00623', '00631', '00633', '00633', '00635', '00636', '00639', '00639', '00639', '00639', '00639', '00640', '00640', '00640', '00640', '00644', '00645', '00645', '00646', '00646', '00651', '00670', '00681', '00681', '00689', '00689', '00701', '00707', '00726', '00726', '00737', '00737', '00737', '00737', '00737', '00737', '00738', '00738', '00743', '00743', '00743', '00743', '00743', '00743', '00743', '00743', '00743', '00745', '00745', '00745', '00747', '00749', '00749', '00753', '00753', '00755', '00755', '00755', '00755', '00786', '00790', '00791', '00820', '00823', '00830', '00830', '00830', '00831', '00831', '00831', '00831', '00832', '00840', '00840', '00853', '00853', '00854', '00854', '00862', '00862', '00869', '00869', '00869', '00890', '00890', '00891', '00892', '00892', '00899', '00899', '00901', '00901', '00917', '00925', '00945', '00950', '00951', '00951', '00953', '00953', '00953', '00953', '00953', '00953', '00953', '00953', '00953', '00953', '00953', '00956', '00956', '00956', '00956', '00956', '00956', '00956', '00959', '00959', '00960', '00960', '00960', '00960', '00960', '00967', '00967', '00967', '00967', '00973', '00973', '00994', '01003', '01028', '01029', '01037', '01044', '01050', '01055', '01055', '01055', '01055', '01055', '01055', '01057', '01057', '01062', '01062', '01062', '01062', '01062', '01063', '01063', '01068', '01070', '01070', '01070', '01070', '01070', '01079', '01092', '01092', '01092', '01092', '01117', '01120', '01128', '01128', '01129', '01129', '01136', '01137', '01139', '01139', '01139', '01139', '01139', '01139', '01140', '01140', '01140', '01140', '01140', '01148', '01149', '01176', '01180', '01185', '01200', '01200', '01202', '01202', '01203', '01203', '01204', '01204', '01207', '01207', '01207', '01207', '01208', '01212', '01212', '01212', '01212', '01222', '01222', '01238', '01238']
ALIMENTARY;['00134', '00325', '00333']
BACKUP;['00627']
TEMPTING;['00091', '00484']
FIRSTYEAR;['00258']
ELASTIC;['00024', '00024', '00100', '01038']
DRAWS;['01004']
SIALOGLYCOCONJUGATE;['01144']
HARDNESS;['00673']
EXHIBITING;['00588']
HAZE;['00348']
FUSIFORM;['00567', '00837']
HYPOTHESIZED;['00268', '00461']
VULNERABLE;['00043', '00448']
ESTIMATIONS;['00091', '00091', '00565']
MOTOR;['00145', '00145']
ATTRACTIVE;['00098', '00538', '00753', '00925', '01156', '01173']
PERAST;['01049']
NONFATAL;['00301']
GESTATIONAL;['00378']
CONTROL;['00001', '00005', '00019', '00022', '00022', '00024', '00026', '00026', '00041', '00046', '00053', '00053', '00054', '00070', '00077', '00092', '00103', '00107', '00113', '00137', '00140', '00141', '00141', '00141', '00141', '00141', '00141', '00145', '00147', '00147', '00147', '00154', '00173', '00181', '00188', '00191', '00191', '00195', '00199', '00217', '00221', '00230', '00230', '00230', '00230', '00248', '00248', '00248', '00251', '00263', '00268', '00268', '00270', '00272', '00278', '00278', '00279', '00279', '00279', '00279', '00302', '00303', '00303', '00303', '00304', '00304', '00305', '00305', '00305', '00306', '00306', '00306', '00306', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00307', '00310', '00313', '00313', '00313', '00337', '00346', '00356', '00356', '00359', '00361', '00369', '00369', '00369', '00369', '00403', '00406', '00407', '00415', '00415', '00430', '00435', '00437', '00439', '00462', '00462', '00466', '00466', '00466', '00466', '00471', '00488', '00495', '00495', '00495', '00495', '00497', '00498', '00498', '00498', '00500', '00502', '00521', '00521', '00521', '00521', '00521', '00521', '00522', '00522', '00522', '00522', '00526', '00526', '00526', '00526', '00526', '00527', '00528', '00529', '00529', '00529', '00529', '00530', '00530', '00530', '00530', '00534', '00535', '00535', '00535', '00535', '00542', '00560', '00562', '00573', '00575', '00585', '00592', '00599', '00608', '00608', '00610', '00610', '00616', '00616', '00616', '00623', '00629', '00632', '00633', '00633', '00639', '00645', '00645', '00666', '00667', '00667', '00673', '00673', '00676', '00677', '00688', '00689', '00691', '00709', '00716', '00725', '00726', '00737', '00737', '00737', '00737', '00738', '00740', '00744', '00747', '00755', '00755', '00755', '00771', '00791', '00794', '00803', '00803', '00803', '00804', '00806', '00819', '00819', '00820', '00823', '00827', '00831', '00847', '00847', '00847', '00847', '00851', '00854', '00856', '00856', '00865', '00867', '00874', '00875', '00882', '00885', '00890', '00890', '00892', '00892', '00896', '00899', '00901', '00901', '00901', '00901', '00903', '00922', '00924', '00951', '00951', '00953', '00954', '00955', '00957', '00959', '00959', '00960', '00960', '00960', '00977', '00978', '00978', '00978', '00981', '00989', '00989', '00993', '00999', '01002', '01002', '01003', '01004', '01005', '01016', '01016', '01022', '01026', '01027', '01027', '01027', '01032', '01036', '01044', '01051', '01054', '01055', '01055', '01058', '01059', '01062', '01062', '01074', '01088', '01092', '01107', '01108', '01112', '01121', '01126', '01129', '01140', '01142', '01143', '01149', '01159', '01160', '01165', '01167', '01172', '01180', '01185', '01196', '01197', '01197', '01197', '01197', '01197', '01197', '01197', '01199', '01199', '01199', '01200', '01200', '01200', '01200', '01200', '01202', '01202', '01202', '01205', '01207', '01210', '01215', '01222', '01222', '01223', '01231', '01231', '01239']
NUTRIENTS;['00153', '00443', '01088', '01088', '01088']
CONFINED;['00125', '00197', '00253', '00350', '00550', '00671', '00703', '00722', '00837']
MIDGUT;['00801']
DISCRIMINATE;['00158', '00873']
CLOSE;['00037', '00142', '00246', '00464', '00524', '00564', '00646', '00678', '00993', '01096', '01105', '01155', '01236']
HISTOCHEMICAL;['00100', '00437', '00439']
TENYEAR;['00898']
BACKBONE;['00371']
EIGHTHOUR;['01100']
PRACTICABLE;['00328', '00968']
AGGRESSIVITY;['01031']
SCREEN;['00148', '00634', '00634', '00774', '00869', '00943', '01128']
INCIDENTAL;['00095']
CODING;['00569']
PREPONDERANCE;['00725', '01125']
DOMINANT;['00431', '00902']
WEEKS;['00002', '00074', '00148', '00267', '00331', '00354', '00459', '00542', '00543', '00543', '00544', '00587', '00606', '00616', '00629', '00667', '00993', '01002', '01002', '01002', '01002', '01002', '01071', '01092', '01104', '01121', '01130', '01188', '01189']
REASON;['00008', '00119', '00283', '00288', '00326', '00331', '00346', '00476', '00689', '00694', '00769', '00824', '00872', '00880', '00915', '00927', '01021', '01090', '01130', '01232']
TERMINATING;['00702']
PHOSPHATURIA;['00603']
ABDOMENS;['00037']
EVENTUAL;['01160']
TWENTYSIX;['00250', '00323']
FOURHOUR;['00962']
BILLINGS;['00322']
SOLUTIONS;['00131', '00395', '00532', '00542', '00542', '00546', '00546', '00546', '00637', '00789', '00881']
PRETERM;['00175', '00378', '00378']
ATTITUDES;['00433', '01224', '01224', '01224']
VIVID;['00845']
SIALYTRANSFERASE;['00854', '00854', '00854']
NONCOVALENT;['00214']
INVOLVING;['00135', '00157', '00223', '00305', '00415', '00432', '00442', '00494', '00504', '00553', '00564', '00567', '00719', '00724', '00733', '00742', '00756', '00840', '00925', '00942', '00970', '01072', '01194']
CELLASSOCIATED;['00702']
ESTIMATED;['00009', '00069', '00414', '00446', '00559', '00559', '00648', '00665', '00669', '00850', '00865', '01083']
PELLET;['00527', '00527']
NEPHRONOPHTISIS;['00664']
CURVILINEARITY;['00194', '00194']
MUTATION;['00086', '00104', '00215', '00617', '00665', '00745', '00745', '00745', '01139', '01144', '01204']
EXTEND;['00141', '00306', '00691']
KOLLBERG;['00280']
ULTRAMICROTECHNIQUES;['01146', '01146']
WASHOUTS;['00194', '00630', '00772']
NURSE;['00127', '00189', '00315', '00730', '00730', '00937', '00941']
EXPERIENCES;['00456', '00586', '00877', '00879']
PIGMENTATION;['01086']
BIMODAL;['00807', '00956']
RHEOLOGIC;['00503']
COMPANY;['00795']
ACCEPTED;['00003', '00013', '00104', '00299', '00503', '00684', '00688', '00844', '00871', '01107', '01183']
ALTERATION;['00086', '00124', '00173', '00190', '00230', '00278', '00297', '00388', '00436', '00453', '00498', '00564', '00960', '00960', '01056', '01074', '01145', '01157']
TETRAPOLAR;['01045', '01045', '01045']
EDIBLE;['00270']
OBESITY;['00153', '00935']
PGML;['01075']
UNRAVELING;['00549']
INTERFERENCE;['00196', '00539', '00571', '00571', '00954', '01045']
CLUES;['00060', '00515']
RESERVED;['00050']
EMBARRASSING;['00043']
REMOVE;['00511', '00605', '00925']
ANTIIGG;['00572']
CLIMATIC;['00105', '00395']
FULLNESS;['00058']
WELLINGTON;['00379']
DOMICILIARY;['01034', '01152']
MARASMUS;['00109']
BRONCHOLABILITY;['01169']
PRESENTATIONS;['00559', '01065', '01226']
PREPARATIONS;['00052', '00052', '00101', '00112', '00190', '00313', '00335', '00337', '00357', '00357', '00532', '00532', '00535', '00553', '00565', '00675', '00675', '00675', '00675', '00679', '00693', '00953', '00953', '00955', '00960', '00960', '00961', '00961', '00967', '00967', '01056', '01056', '01090', '01092', '01103', '01144', '01202', '01222']
THYROTROPIN;['00163', '00508', '00508']
GASTROENTEROLOGICAL;['00232', '00456']
JERSEY;['00679']
DEGREE;['00060', '00060', '00104', '00109', '00184', '00219', '00219', '00251', '00256', '00316', '00326', '00348', '00348', '00352', '00355', '00366', '00424', '00424', '00429', '00486', '00486', '00502', '00511', '00520', '00520', '00527', '00527', '00527', '00527', '00527', '00565', '00601', '00621', '00653', '00658', '00676', '00740', '00778', '00783', '00786', '00803', '00803', '00811', '00816', '00823', '00829', '00901', '00915', '00915', '00968', '00973', '01030', '01047', '01054', '01065', '01073', '01079', '01083', '01083', '01121', '01164']
BARRIERS;['00517']
SEROLOGICALLY;['01086']
INVARIABLE;['00351']
MIDEXPIRATORY;['00349', '00383', '00387', '00519', '00963', '01039', '01151', '01212', '01237']
CONVICTION;['00844']
PERFUSED;['00137', '00137', '00137']
MARGINALLY;['00956']
MEDIATION;['00672']
ELECTRONICAL;['00418']
VISUALIZED;['00093', '00344', '00750']
ATROPINE;['01003', '01003', '01003', '01003', '01003', '01003', '01003']
PREDICTED;['00149', '00653', '00653', '00667', '00816', '00922', '01038', '01146']
BREAST;['00334', '00714', '00714', '00714', '00714', '00714', '00756', '01152']
CONCEIVABLE;['00104', '01170']
EFFORTS;['00264', '00370', '00497', '00734', '01034', '01164']
SLOPE;['00388', '00388', '00674', '01237']
SCHAUF;['00692']
WATCHING;['00213']
ENDINSPIRATORY;['00578', '00578']
ASSESSED;['00038', '00192', '00212', '00263', '00306', '00306', '00326', '00457', '00473', '00676', '00676', '00736', '00742', '00813', '00879', '00976', '01052', '01067', '01074', '01198', '01212', '01216']
ARTERIES;['00100', '00100', '00100', '00100', '00348', '00348', '01104']
COPING;['00239', '00448', '01224']
PIMG;['00303', '00303', '00303', '00303']
ANTIIGETREATED;['00685']
CONSIDERATIONS;['00013', '00153', '01088']
DIED;['00262', '00314', '00348', '00352', '00354', '00354', '00396', '00426', '00472', '00472', '00473', '00473', '00474', '00514', '00522', '00522', '00550', '00587', '00615', '00631', '00649', '00718', '00782', '00804', '00806', '00913', '00914', '00914', '00942', '01022', '01036', '01098', '01109', '01119']
ADPINDUCED;['00338']
SEPHARDIM;['00880']
TRIRADIUS;['00248']
REFINED;['00627', '01130']
TERM;['00048', '00066', '00235', '00235', '00378', '00714', '00776', '00792', '00867', '00867', '01066']
SELECTIVE;['00117', '00334', '00340', '00442', '00588', '00589', '00617', '00648', '00807', '00887', '01106', '01144']
PERSISTS;['00263', '01002']
PARATESTICULAR;['00353']
SEVERALFOLD;['01148']
DIVISION;['00336', '00511']
CARBOXYPEPTIDASEBLIKE;['00122', '00122']
INSULTS;['01079']
CLAPPING;['01151']
PREINCUBATED;['00303', '00303', '00303', '00675', '00675']
MAIN;['00008', '00017', '00046', '00063', '00064', '00133', '00312', '00322', '00431', '00485', '00489', '00496', '00522', '00522', '00522', '00586', '00627', '00653', '00776', '00860', '00876', '00981', '01083', '01156', '01183', '01186', '01186', '01205', '01232']
PURINE;['00506', '00693', '00693', '00897', '01103', '01103', '01103', '01103']
METHACHOLINE;['00904', '01099']
PREOCCUPIED;['00203']
TRANSFUSION;['00037', '00779', '01189']
HEMAGGLUTINATIONINHIBITING;['00678']
MODULATION;['00953']
CONNECTION;['00654']
CHIEFLY;['00133', '00709']
TRANSFORMATION;['00048', '00048', '00656', '00993']
